id_registro,fecha_movimiento,personal_rol,personal_especialidad,area_nombre,cama_serie,cama_tipo,cama_tiene_sabana,cama_esta_ocupada
REG-100000,2026-05-01 08:00:00,medico,anestesiologo,atencion prioritaria,CAM-533,camilla,True,True
REG-100001,2026-05-01 08:00:35,medico,pediatra,finanzas,CAM-649,cuna pediatrica,True,False
REG-100002,2026-05-01 08:01:10,administrativo,facturacion,uci pediatria,CAM-535,hospitalaria estandar,False,False
REG-100003,2026-05-01 08:01:45,medico,cirujano general,area administrativa,CAM-331,camilla de transporte,True,False
REG-100004,2026-05-01 08:02:20,administrativo,facturacion,atencion prioritaria,CAM-741,cama uci electrica,True,False
REG-100005,2026-05-01 08:02:55,finanzas,contabilidad,area administrativa,CAM-211,camilla de transporte,False,True
REG-100006,2026-05-01 08:03:30,medico,pediatra,finanzas,CAM-374,cuna pediatrica,True,True
REG-100007,2026-05-01 08:04:05,medico,urgenciologo,uci adultos,CAM-175,cama uci electrica,False,True
REG-100008,2026-05-01 08:04:40,finanzas,contabilidad,area administrativa,CAM-355,cuna pediatrica,False,False
REG-100009,2026-05-01 08:05:15,administrativo,facturacion,urgencias,CAM-860,camilla de transporte,False,False
REG-100010,2026-05-01 08:05:50,administrativo,talento humano,uci adultos,CAM-262,camilla,False,False
REG-100011,2026-05-01 08:06:25,administrativo,facturacion,atencion prioritaria,CAM-555,camilla de transporte,True,False
REG-100012,2026-05-01 08:07:00,finanzas,costos e insumos,piso 3 - hospitalizacion,no especificado,cuna pediatrica,False,True
REG-100013,2026-05-01 08:07:35,medico,no especificado,atencion prioritaria,CAM-844,camilla,False,True
REG-100014,2026-05-01 08:08:10,medico,cirujano general,sala de operaciones,CAM-560,cama uci electrica,True,True
REG-100015,2026-05-01 08:08:45,medico,urgenciologo,atencion prioritaria,CAM-365,camilla de transporte,False,False
REG-100016,2026-05-01 08:09:20,administrativo,talento humano,urgencias,CAM-416,no especificado,False,False
REG-100018,2026-05-01 08:10:30,administrativo,facturacion,piso 3 - hospitalizacion,CAM-497,camilla de transporte,True,True
REG-100019,2026-05-01 08:11:05,finanzas,contabilidad,area administrativa,CAM-246,hospitalaria estandar,True,False
REG-100020,2026-05-01 08:11:40,medico,cirujano,area administrativa,CAM-756,cama uci electrica,False,False
REG-100021,2026-05-01 08:12:15,administrativo,admitido,sala de operaciones,CAM-916,camilla,False,False
REG-100023,2026-05-01 08:13:25,medico,cirujano,urgencias,CAM-932,hospitalaria estandar,False,True
REG-100024,2026-05-01 08:14:00,medico,no especificado,piso 3 - hospitalizacion,CAM-744,camilla,False,False
REG-100025,2026-05-01 08:14:35,administrativo,auditoria medica,uci adultos,CAM-990,hospitalaria estandar,False,False
REG-100026,2026-05-01 08:15:10,medico,anestesiologo,urgencias,CAM-950,camilla de transporte,False,False
REG-100027,2026-05-01 08:15:45,medico,pediatra,pasillo urgencias,CAM-796,camilla de transporte,True,False
REG-100028,2026-05-01 08:16:20,medico,cirujano,pasillo urgencias,CAM-759,camilla,False,False
REG-100029,2026-05-01 08:16:55,administrativo,facturacion,atencion prioritaria,CAM-809,cuna pediatrica,False,False
REG-100030,2026-05-01 08:17:30,medico,urgenciologo,urgencias,CAM-524,camilla de transporte,False,False
REG-100031,2026-05-01 08:18:05,finanzas,costos e insumos,area administrativa,CAM-637,cama uci electrica,True,True
REG-100032,2026-05-01 08:18:40,administrativo,auditoria medica,uci pediatria,CAM-939,camilla de transporte,False,False
REG-100033,2026-05-01 08:19:15,finanzas,tesoreria,pasillo urgencias,CAM-256,no especificado,False,False
REG-100036,2026-05-01 08:21:00,medico,urgenciologo,sala de operaciones,CAM-999,cuna pediatrica,False,False
REG-100037,2026-05-01 08:21:35,finanzas,facturacion,sala de operaciones,CAM-586,camilla,False,True
REG-100038,2026-05-01 08:22:10,medico,anestesiologo,urgencias,CAM-846,cuna pediatrica,False,False
REG-100039,2026-05-01 08:22:45,administrativo,auditoria medica,piso 3 - hospitalizacion,CAM-271,camilla,True,False
REG-100040,2026-05-01 08:23:20,finanzas,contabilidad,urgencias,CAM-315,camilla,False,False
REG-100041,2026-05-01 08:23:55,administrativo,facturacion,pasillo urgencias,CAM-332,hospitalaria estandar,False,False
REG-100042,2026-05-01 08:24:30,medico,anestesiologo,atencion prioritaria,CAM-408,camilla,False,False
REG-100044,2026-05-01 08:25:40,administrativo,facturacion,piso 3 - hospitalizacion,CAM-290,camilla de transporte,False,False
REG-100045,2026-05-01 08:26:15,administrativo,facturacion,piso 3 - hospitalizacion,CAM-478,hospitalaria estandar,True,False
REG-100046,2026-05-01 08:26:50,administrativo,facturacion,uci adultos,CAM-674,camilla de transporte,False,False
REG-100047,2026-05-01 08:27:25,finanzas,tesoreria,sala de operaciones,CAM-890,cuna pediatrica,True,False
REG-100048,2026-05-01 08:28:00,medico,anestesiologo,pasillo urgencias,CAM-902,hospitalaria estandar,False,False
REG-100049,2026-05-01 08:28:35,medico,anestesiologo,sala de operaciones,CAM-682,cuna pediatrica,False,False
REG-100050,2026-05-01 08:29:10,finanzas,tesoreria,pasillo urgencias,CAM-311,hospitalaria estandar,True,False
REG-100051,2026-05-01 08:29:45,finanzas,contabilidad,atencion prioritaria,CAM-982,camilla de transporte,True,False
REG-100052,2026-05-01 08:30:20,administrativo,facturacion,uci pediatria,CAM-299,hospitalaria estandar,False,False
REG-100054,2026-05-01 08:31:30,finanzas,contabilidad,area administrativa,CAM-127,camilla de transporte,False,False
REG-100055,2026-05-01 08:32:05,finanzas,urgenciologo,sala de operaciones,CAM-424,hospitalaria estandar,True,False
REG-100056,2026-05-01 08:32:40,medico,urgenciologo,atencion prioritaria,CAM-372,cama uci electrica,False,False
REG-100057,2026-05-01 08:33:15,medico,pediatra,area administrativa,CAM-130,camilla,False,False
REG-100059,2026-05-01 08:34:25,administrativo,admitido,uci pediatria,CAM-510,cama uci electrica,False,False
REG-100060,2026-05-01 08:35:00,finanzas,costos e insumos,urgencias,CAM-903,camilla,False,True
REG-100062,2026-05-01 08:36:10,administrativo,facturacion,sala de operaciones,CAM-405,hospitalaria estandar,True,False
REG-100063,2026-05-01 08:36:45,finanzas,anestesiologo,sala de operaciones,CAM-985,cuna pediatrica,False,True
REG-100066,2026-05-01 08:38:30,finanzas,contabilidad,area administrativa,CAM-393,cuna pediatrica,False,False
REG-100067,2026-05-01 08:39:05,finanzas,tesoreria,finanzas,CAM-654,cama uci electrica,False,False
REG-100068,2026-05-01 08:39:40,medico,no especificado,piso 3 - hospitalizacion,CAM-160,cuna pediatrica,False,True
REG-100069,2026-05-01 08:40:15,finanzas,tesoreria,sala de operaciones,CAM-486,hospitalaria estandar,False,False
REG-100070,2026-05-01 08:40:50,administrativo,facturacion,finanzas,CAM-108,camilla de transporte,True,False
REG-100071,2026-05-01 08:41:25,medico,urgenciologo,urgencias,CAM-562,camilla,True,False
REG-100072,2026-05-01 08:42:00,medico,cirujano general,pasillo urgencias,CAM-577,cuna pediatrica,False,False
REG-100073,2026-05-01 08:42:35,medico,anestesiologo,finanzas,CAM-264,camilla de transporte,False,False
